validation_day,gate_min,lambda,W,n_blended
2025-09-03,600,0.05,0.9601201233578862,7
2025-09-03,600,0.1,0.9599121512802613,7
2025-09-03,600,0.15,0.9560435370325465,7
2025-09-03,600,0.2,0.9494358217368803,7
2025-09-03,600,0.3,0.9251890885348024,7
2025-09-03,600,0.4,0.9075261019899916,7
2025-09-03,720,0.05,0.9593027640145136,6
2025-09-03,720,0.1,0.9577472368827562,6
2025-09-03,720,0.15,0.9515673068491444,6
2025-09-03,720,0.2,0.9417336593204015,6
2025-09-03,720,0.3,0.9106239599270654,6
2025-09-03,720,0.4,0.8908780678823728,6
2025-09-03,840,0.05,0.959751110145031,5
2025-09-03,840,0.1,0.957637417672493,5
2025-09-03,840,0.15,0.9497954345491971,5
2025-09-03,840,0.2,0.9377614935838133,5
2025-09-03,840,0.3,0.8999450074480382,5
2025-09-03,840,0.4,0.8711992308588474,5
2025-09-03,960,0.05,0.9630972660183588,4
2025-09-03,960,0.1,0.9619980452180401,4
2025-09-03,960,0.15,0.9541809566751278,4
2025-09-03,960,0.2,0.9408656528838449,4
2025-09-03,960,0.3,0.8997688458134844,4
2025-09-03,960,0.4,0.8723512296548012,4
2025-09-03,1200,0.05,0.9629554283235969,2
2025-09-03,1200,0.1,0.9631824224895966,2
2025-09-03,1200,0.15,0.9615367953196474,2
2025-09-03,1200,0.2,0.957418814198221,2
2025-09-03,1200,0.3,0.9500331716660727,2
2025-09-03,1200,0.4,0.9373394374945145,2
2025-09-04,360,0.05,0.942610791554566,10
2025-09-04,360,0.1,0.9408820489071225,10
2025-09-04,360,0.15,0.9417575308272977,10
2025-09-04,360,0.2,0.943254378086652,10
2025-09-04,360,0.3,0.9405938386753177,10
2025-09-04,360,0.4,0.9291603199591927,10
2025-09-04,480,0.05,0.9424743851234466,9
2025-09-04,480,0.1,0.9404656506359561,9
2025-09-04,480,0.15,0.9408368549353735,9
2025-09-04,480,0.2,0.9415712201707497,9
2025-09-04,480,0.3,0.9362059241496862,9
2025-09-04,480,0.4,0.9255980152462898,9
2025-09-04,600,0.05,0.94247645273029,8
2025-09-04,600,0.1,0.9401534671365555,8
2025-09-04,600,0.15,0.9400495672070545,8
2025-09-04,600,0.2,0.9402307719539137,8
2025-09-04,600,0.3,0.9358410592336746,8
2025-09-04,600,0.4,0.9263625975316305,8
2025-09-04,720,0.05,0.9434948444160879,7
2025-09-04,720,0.1,0.942122491464057,7
2025-09-04,720,0.15,0.9405995543805348,7
2025-09-04,720,0.2,0.9394010999805715,7
2025-09-04,720,0.3,0.9324346380434153,7
2025-09-04,720,0.4,0.919933254700551,7
2025-09-04,840,0.05,0.9435641353867608,6
2025-09-04,840,0.1,0.9428338469065553,6
2025-09-04,840,0.15,0.9421650137478974,6
2025-09-04,840,0.2,0.941899597676708,6
2025-09-04,840,0.3,0.9383704273865875,6
2025-09-04,840,0.4,0.9330882565903285,6
2025-09-04,960,0.05,0.9427616785795414,5
2025-09-04,960,0.1,0.9406841156333798,5
2025-09-04,960,0.15,0.9376408762591086,5
2025-09-04,960,0.2,0.9348318627753169,5
2025-09-04,960,0.3,0.9302342887010866,5
2025-09-04,960,0.4,0.9372327491806693,5
2025-09-04,1200,0.05,0.9422477741702958,3
2025-09-04,1200,0.1,0.9422866227262794,3
2025-09-04,1200,0.15,0.9434456149197145,3
2025-09-04,1200,0.2,0.944377607742644,3
2025-09-04,1200,0.3,0.9449702122503979,3
2025-09-04,1200,0.4,0.9447043385361882,3
2025-09-05,360,0.05,0.9204367602503238,10
2025-09-05,360,0.1,0.9193307233656722,10
2025-09-05,360,0.15,0.9171809865802412,10
2025-09-05,360,0.2,0.9131020958180939,10
2025-09-05,360,0.3,0.9130735267619975,10
