run_id,satellite_id,model,target,mae,rmse,bias,std,shapiro_w,shapiro_p
official_calib_check,UNKNOWN,harmonic_ridge,x_error_m,0.15496980156455742,0.22263106947635838,0.06710678770301799,0.212276405048628,0.8264618409272788,0.0036830646585807457
official_calib_check,UNKNOWN,harmonic_ridge,y_error_m,0.12304972250345173,0.14013988981430162,-0.08010533634766265,0.11498836378430836,0.9241158509182331,0.15289044595006474
official_calib_check,UNKNOWN,harmonic_ridge,z_error_m,0.13687370780684147,0.21686286095147178,-0.0038889849492013654,0.21682798771404554,0.8392899258596096,0.005766704947424024
official_calib_check,UNKNOWN,harmonic_ridge,clock_error_m,0.03572180161931731,0.05806580943159281,0.021558734131628274,0.053915296601129994,0.7227224807008968,0.00014854919053712646
official_calib_check,UNKNOWN,random_forest,x_error_m,0.19637000256462722,0.2532180819414539,-0.0194761888862423,0.2524679684407039,0.9263397532146558,0.1673780406089611
official_calib_check,UNKNOWN,random_forest,y_error_m,0.10517690470197016,0.1234499448348179,-0.07280144753419679,0.09969873678560412,0.9748614749380533,0.8824395472104443
official_calib_check,UNKNOWN,random_forest,z_error_m,0.19394689580987087,0.272237114991322,0.07403795438321041,0.26197600670585836,0.9006243060540494,0.05891495337163693
official_calib_check,UNKNOWN,random_forest,clock_error_m,0.026161011464399545,0.04822728041541062,0.0017033923185284367,0.048197189035003155,0.6662144669575717,3.3165832369872855e-05
official_calib_check,UNKNOWN,gaussian_process,x_error_m,0.14843966772852868,0.2023135968432623,0.013631081625035433,0.20185387061285126,0.787405551898807,0.001013915794281059
official_calib_check,UNKNOWN,gaussian_process,y_error_m,0.07935775328246925,0.10346692304319768,0.07276594789036415,0.07355624372984117,0.9155742473894868,0.10792930420662028
official_calib_check,UNKNOWN,gaussian_process,z_error_m,0.12147773209589961,0.1953348591448093,-0.06408257399767867,0.18452406592895823,0.7513991412343933,0.00033779129388143594
official_calib_check,UNKNOWN,gaussian_process,clock_error_m,0.028835261179387468,0.05177150718970987,0.008461721797497457,0.05107531909754393,0.7091523542439288,0.00010222440024574733
official_calib_check,UNKNOWN,geo_moe,x_error_m,0.15685307672777102,0.21984206540525572,0.05587968928494312,0.21262171584075537,0.8265531190697123,0.0036946672778644645
official_calib_check,UNKNOWN,geo_moe,y_error_m,0.08940222072376625,0.1125717044650091,-0.010077969360091373,0.11211968239222944,0.9188949126783603,0.12357538372540477
official_calib_check,UNKNOWN,geo_moe,z_error_m,0.15399619295213718,0.22543860535594779,0.06799255521869589,0.2149408691237368,0.8380672258978229,0.005522394361189164
official_calib_check,UNKNOWN,geo_moe,clock_error_m,0.03140216137373678,0.05504633375657471,0.010855596830117964,0.053965311798433536,0.7256357904086672,0.0001611552859282036
