run_id,satellite_id,model,target,n_samples,shapiro_w,p_value,hypothesis_result,alpha,mean,std,mae,rmse,qq_outlier_count
official_competition_run,GEO,bilstm_gru,y_error_m,69,0.8241948363168075,1.3075746342182976e-07,1,0.05,-0.8667154675640025,19.754893707425786,11.087799875734206,19.630362695732085,1
official_competition_run,GEO,bilstm_gru,z_error_m,69,0.8918825646335035,2.129900640666803e-05,1,0.05,1.6064293580424824,10.479797303119334,6.619022451607659,10.526874343392056,1
official_competition_run,GEO,bilstm_gru,clock_error_m,69,0.559679631065604,4.526032614754983e-13,1,0.05,-0.8547159546854259,15.912328867356264,6.061724283426125,15.819707712216566,9
official_competition_run,GEO,transformer,x_error_m,69,0.8726574812652275,4.32301453480471e-06,1,0.05,-0.81168821092889,13.950885915892547,8.424930361800465,13.873188936704985,0
official_competition_run,GEO,transformer,y_error_m,69,0.8243371458228701,1.3198957416285516e-07,1,0.05,-2.0194980297089162,19.747232708013637,11.108598055376948,19.70736096664672,1
official_competition_run,GEO,transformer,z_error_m,69,0.8883908638713812,1.5774961519058084e-05,1,0.05,0.7504837923976901,10.484597759211711,6.544450513091321,10.43536651050462,2
official_competition_run,GEO,transformer,clock_error_m,69,0.5578380881646516,4.2367416769390193e-13,1,0.05,-0.3345226056221413,15.899236823854169,6.157845446718288,15.787149065851368,9
official_competition_run,GEO,decoupled_clock,x_error_m,69,0.8779394964202936,6.6085402943348315e-06,1,0.05,0.5195106638957974,13.967064919057913,8.627809273324576,13.87521399160185,0
official_competition_run,GEO,decoupled_clock,y_error_m,69,0.8258093332422527,1.454767939006457e-07,1,0.05,-1.110941310219078,19.748494186184363,11.045572194869168,19.63631827755277,1
official_competition_run,GEO,decoupled_clock,z_error_m,69,0.9052435752990227,7.053021952157934e-05,1,0.05,2.012821435386145,10.562008910899468,6.90509901626757,10.676644054866824,1
official_competition_run,GEO,decoupled_clock,clock_error_m,69,0.5626009628205421,5.028027673407232e-13,1,0.05,-0.9668441498833944,15.898249177697673,6.094666745604617,15.812210735350629,8
official_competition_run,GEO,nhits,x_error_m,69,0.9636930168183776,0.042544000318190694,1,0.05,0.3529335288098925,16.103748397606573,11.282583201064048,15.990524019138999,1
official_competition_run,GEO,nhits,y_error_m,69,0.949629464866725,0.007481416347006087,1,0.05,-3.590815315368365,21.854368954397327,15.461809966816833,21.990576688123873,1
official_competition_run,GEO,nhits,z_error_m,69,0.965096544946012,0.05089516695619349,0,0.05,0.4016231130600264,12.79053979078974,9.32939174547425,12.703866540891434,2
official_competition_run,GEO,nhits,clock_error_m,69,0.679018413238399,5.3284571522277546e-11,1,0.05,-0.6599802209464981,16.346890362880977,7.76007631499362,16.241417205869237,6
official_competition_run,MEO-1,persistence,x_error_m,6,0.8375064297227617,0.1242920571347283,0,0.05,0.29141740483333334,0.10143975123433219,0.29141740483333334,0.30577626316507556,0
official_competition_run,MEO-1,persistence,y_error_m,6,0.9298021674956644,0.5785749696096817,0,0.05,-0.7157928281666667,0.438340887396593,0.7157928281666667,0.8200477531773351,0
official_competition_run,MEO-1,persistence,z_error_m,6,0.8435100340500821,0.13935381216845744,0,0.05,-0.13344309049999997,0.27915175258218294,0.27195762416666663,0.2876545541854177,0
official_competition_run,MEO-1,persistence,clock_error_m,6,0.938749072612755,0.6491363640168737,0,0.05,0.2771753405,0.10358532390626361,0.2771753405,0.29286134743582826,0
official_competition_run,MEO-1,harmonic_ridge,x_error_m,6,0.9396262242587354,0.6561885005020496,0,0.05,0.6170545495374135,0.16699928880209788,0.6170545495374135,0.6356075459656628,0
official_competition_run,MEO-1,harmonic_ridge,y_error_m,6,0.928857641175876,0.5713093210215092,0,0.05,-0.26145553163475316,0.45455737227418347,0.3879963458955455,0.4904531906951844,0
official_competition_run,MEO-1,harmonic_ridge,z_error_m,6,0.8793137028135424,0.2659202684438685,0,0.05,0.32520888320206315,0.30897379233980216,0.32520888320206315,0.4304820801623444,0
official_competition_run,MEO-1,harmonic_ridge,clock_error_m,6,0.9159824951972146,0.47690643900537266,0,0.05,0.14517368796344216,0.18858077695079314,0.16580078097159598,0.2251910097518198,0
official_competition_run,MEO-1,random_forest,x_error_m,6,0.8637822525445144,0.20252465056638136,0,0.05,0.21339785682373283,0.10350237533891404,0.21339785682373283,0.23337936937018855,0
official_competition_run,MEO-1,random_forest,y_error_m,6,0.9360102329927337,0.6272458433216682,0,0.05,-0.2551688992197988,0.5050009825309327,0.42130263707963045,0.5269087467737812,0
official_competition_run,MEO-1,random_forest,z_error_m,6,0.8521995457503598,0.16396715222260477,0,0.05,0.04103032611341592,0.2723576006457873,0.20689865343526037,0.25199015824481796,0
official_competition_run,MEO-1,random_forest,clock_error_m,6,0.9111875021334688,0.4442547343202409,0,0.05,0.12034956457902053,0.12419746753407279,0.125165545764144,0.16534265474842655,0
official_competition_run,MEO-1,gaussian_process,x_error_m,6,0.9123666002000858,0.4521479734159864,0,0.05,0.2100874026707197,0.06540453443710652,0.2100874026707197,0.21840675592047973,0
official_competition_run,MEO-1,gaussian_process,y_error_m,6,0.8851958130807462,0.29377584125523665,0,0.05,0.17779246557788272,0.156991723839066,0.20105108034776362,0.2283611801756826,0
official_competition_run,MEO-1,gaussian_process,z_error_m,6,0.835205869264571,0.1189116749825182,0,0.05,-0.014544058217850856,0.08621459375944553,0.05862864088634764,0.08003536578933562,0
official_competition_run,MEO-1,gaussian_process,clock_error_m,6,0.9254344530484022,0.5453336529123776,0,0.05,0.23997861058877634,0.5197564699721752,0.3708113575155163,0.5317067396021985,0
official_competition_run,MEO-1,geo_moe,x_error_m,6,0.9326908674467118,0.6010366723199779,0,0.05,0.7315456638018217,0.16871173317386046,0.7315456638018217,0.7475819457776438,0
official_competition_run,MEO-1,geo_moe,y_error_m,6,0.9386691504190496,0.6484947109641171,0,0.05,-0.3134410107777138,0.482400891679027,0.4315609374346246,0.5405282454672977,0
official_competition_run,MEO-1,geo_moe,z_error_m,6,0.8792222248314542,0.2655043809493203,0,0.05,0.15869978503868326,0.3381773805450738,0.26897970523136155,0.3471151187981647,0
official_competition_run,MEO-1,geo_moe,clock_error_m,6,0.920191442313038,0.5067408656760327,0,0.05,0.04595018442999432,0.19705054660506774,0.1442085102853324,0.18565788711214812,0
official_competition_run,MEO-1,bilstm_gru,x_error_m,6,0.7597452954810043,0.02477135437333272,1,0.05,0.11322201029416092,0.07930927306991975,0.11322201029416092,0.13439069019386596,0
official_competition_run,MEO-1,bilstm_gru,y_error_m,6,0.9011808371948556,0.38095684882932035,0,0.05,0.12120787610512546,0.5660049296259099,0.4789690258481211,0.5307158682986043,0
official_competition_run,MEO-1,bilstm_gru,z_error_m,6,0.8720059714917913,0.2343186562483705,0,0.05,-0.09138763856044647,0.31560117189659925,0.28337692884229376,0.30225008999239433,0
official_competition_run,MEO-1,bilstm_gru,clock_error_m,6,0.788979966063635,0.04667029885723796,1,0.05,0.06851945676971359,0.12870395445295427,0.08513575037644261,0.13601043783183242,0
official_competition_run,MEO-1,transformer,x_error_m,6,0.7893213036419885,0.04700805574855479,1,0.05,0.6602153614726496,0.09766348093952291,0.6602153614726496,0.6662077652270462,0
official_competition_run,MEO-1,transformer,y_error_m,6,0.9215219173699523,0.5163893257728535,0,0.05,0.321571826716402,0.5798374130813876,0.5534050961803213,0.6193420926637825,0
