dataset,validation_day,variable,sample_index,residual
GEO,2025-09-04,x_error (m),8,-5.151576884
GEO,2025-09-04,x_error (m),9,-1.290106427
GEO,2025-09-04,x_error (m),10,2.1021855069999997
GEO,2025-09-04,x_error (m),11,-0.734891806
GEO,2025-09-04,y_error (m),0,1.0140025019999999
GEO,2025-09-04,y_error (m),1,-1.9837505180000001
GEO,2025-09-04,y_error (m),2,-0.8376919920000001
GEO,2025-09-04,y_error (m),3,-1.40215205
GEO,2025-09-04,y_error (m),4,-1.972775392
GEO,2025-09-04,y_error (m),5,6.610941064
GEO,2025-09-04,y_error (m),6,-2.45940683
GEO,2025-09-04,y_error (m),7,-5.70644737
GEO,2025-09-04,y_error (m),8,-4.709688101
GEO,2025-09-04,y_error (m),9,-1.435728539
GEO,2025-09-04,y_error (m),10,1.6778075920000002
GEO,2025-09-04,y_error (m),11,-0.799877561
GEO,2025-09-04,z_error (m),0,1.6148763430000002
GEO,2025-09-04,z_error (m),1,0.4779808590000001
GEO,2025-09-04,z_error (m),2,-2.1786666980000002
GEO,2025-09-04,z_error (m),3,-4.684558163
GEO,2025-09-04,z_error (m),4,-2.340597608
GEO,2025-09-04,z_error (m),5,-1.074534807
GEO,2025-09-04,z_error (m),6,0.786701313
GEO,2025-09-04,z_error (m),7,-2.076431538
GEO,2025-09-04,z_error (m),8,-4.430681177
GEO,2025-09-04,z_error (m),9,-7.287543210000001
GEO,2025-09-04,z_error (m),10,-4.301739615
GEO,2025-09-04,z_error (m),11,0.5604119499999998
GEO,2025-09-04,satclockerror (m),0,-1.15081118
GEO,2025-09-04,satclockerror (m),1,0.808089431
GEO,2025-09-04,satclockerror (m),2,4.403953306
GEO,2025-09-04,satclockerror (m),3,3.9468905039999997
GEO,2025-09-04,satclockerror (m),4,-3.980887749
GEO,2025-09-04,satclockerror (m),5,-4.1587470600000005
GEO,2025-09-04,satclockerror (m),6,2.83881312
GEO,2025-09-04,satclockerror (m),7,3.7822439169999997
GEO,2025-09-04,satclockerror (m),8,4.687417148
GEO,2025-09-04,satclockerror (m),9,4.856539907
GEO,2025-09-04,satclockerror (m),10,1.078556371
GEO,2025-09-04,satclockerror (m),11,-1.578352939
GEO,2025-09-05,x_error (m),0,-0.7192324210000001
GEO,2025-09-05,x_error (m),1,2.6271250999999998
GEO,2025-09-05,x_error (m),2,-1.010743618
GEO,2025-09-05,x_error (m),3,-5.793951455
GEO,2025-09-05,x_error (m),4,-1.289461959
GEO,2025-09-05,x_error (m),5,-1.038376599
GEO,2025-09-05,x_error (m),6,-0.17771452600000004
GEO,2025-09-05,x_error (m),7,-3.338944606
GEO,2025-09-05,x_error (m),8,-1.675206512
GEO,2025-09-05,x_error (m),9,2.34662984
GEO,2025-09-05,x_error (m),10,1.9350512589999997
GEO,2025-09-05,x_error (m),11,-2.0835260150000003
GEO,2025-09-05,y_error (m),0,-0.50519329
GEO,2025-09-05,y_error (m),1,2.7614845929999996
GEO,2025-09-05,y_error (m),2,-1.18624378
GEO,2025-09-05,y_error (m),3,-5.172952306
GEO,2025-09-05,y_error (m),4,-1.23584259
GEO,2025-09-05,y_error (m),5,-1.178363517
GEO,2025-09-05,y_error (m),6,-0.11390106099999997
GEO,2025-09-05,y_error (m),7,-3.126939349
GEO,2025-09-05,y_error (m),8,-1.532811895
GEO,2025-09-05,y_error (m),9,1.9690389400000001
GEO,2025-09-05,y_error (m),10,1.73272128
GEO,2025-09-05,y_error (m),11,-1.985699758
GEO,2025-09-05,z_error (m),0,-0.12514128099999988
GEO,2025-09-05,z_error (m),1,-0.25681112799999983
GEO,2025-09-05,z_error (m),2,-2.972974226
GEO,2025-09-05,z_error (m),3,-2.4740485509999997
GEO,2025-09-05,z_error (m),4,-2.9008749369999998
GEO,2025-09-05,z_error (m),5,-2.9184549239999997
GEO,2025-09-05,z_error (m),6,0.6351436990000003
GEO,2025-09-05,z_error (m),7,-1.3585292159999998
GEO,2025-09-05,z_error (m),8,-4.261776074
GEO,2025-09-05,z_error (m),9,-7.6059523989999995
GEO,2025-09-05,z_error (m),10,-5.878352574999999
GEO,2025-09-05,z_error (m),11,-2.6603909839999997
GEO,2025-09-05,satclockerror (m),0,1.400493598
GEO,2025-09-05,satclockerror (m),1,2.766989982
GEO,2025-09-05,satclockerror (m),2,3.951582556
GEO,2025-09-05,satclockerror (m),3,4.293872603
GEO,2025-09-05,satclockerror (m),4,-1.4973615789999997
GEO,2025-09-05,satclockerror (m),5,0.17785933999999992
GEO,2025-09-05,satclockerror (m),6,4.133702217
GEO,2025-09-05,satclockerror (m),7,5.076917163
GEO,2025-09-05,satclockerror (m),8,6.367330119
GEO,2025-09-05,satclockerror (m),9,5.5928062
GEO,2025-09-05,satclockerror (m),10,-1.1168139360000002
GEO,2025-09-05,satclockerror (m),11,6.142476631
GEO,2025-09-06,x_error (m),0,0.19536998900000002
GEO,2025-09-06,x_error (m),1,-0.5541625209999999
GEO,2025-09-06,x_error (m),2,5.824710518
GEO,2025-09-06,x_error (m),3,1.810925406
GEO,2025-09-06,x_error (m),4,0.842199154
GEO,2025-09-06,x_error (m),5,1.0372777020000001
GEO,2025-09-06,x_error (m),6,-3.9553787300000005
GEO,2025-09-06,x_error (m),7,4.896597814
GEO,2025-09-06,x_error (m),8,3.874671307
GEO,2025-09-06,x_error (m),9,2.214448333
GEO,2025-09-06,x_error (m),10,2.481420558
GEO,2025-09-06,y_error (m),0,0.9708862970000001
GEO,2025-09-06,y_error (m),1,0.399977982
GEO,2025-09-06,y_error (m),2,5.6092060429999995
GEO,2025-09-06,y_error (m),3,1.667019996
GEO,2025-09-06,y_error (m),4,0.6878666720000001
GEO,2025-09-06,y_error (m),5,0.74215674
GEO,2025-09-06,y_error (m),6,-14.088546015
GEO,2025-09-06,y_error (m),7,16.105435275
GEO,2025-09-06,y_error (m),8,3.677179757
GEO,2025-09-06,y_error (m),9,2.15876932
GEO,2025-09-06,y_error (m),10,2.242696557
GEO,2025-09-06,z_error (m),0,7.880508279000001
GEO,2025-09-06,z_error (m),1,4.6163509529999995
GEO,2025-09-06,z_error (m),2,-1.7776526449999999
GEO,2025-09-06,z_error (m),3,-1.0033291009999998
GEO,2025-09-06,z_error (m),4,-0.24402561499999997
GEO,2025-09-06,z_error (m),5,-0.23081960899999998
GEO,2025-09-06,z_error (m),6,-5.107196051
GEO,2025-09-06,z_error (m),7,12.449523909
GEO,2025-09-06,z_error (m),8,-0.30094999499999997
GEO,2025-09-06,z_error (m),9,-4.431993474
GEO,2025-09-06,z_error (m),10,-5.56017293
GEO,2025-09-06,satclockerror (m),0,-2.334972022
GEO,2025-09-06,satclockerror (m),1,-4.014453261
GEO,2025-09-06,satclockerror (m),2,-2.75803761
GEO,2025-09-06,satclockerror (m),3,-2.792034824
GEO,2025-09-06,satclockerror (m),4,-6.493503231
GEO,2025-09-06,satclockerror (m),5,-6.74340153
GEO,2025-09-06,satclockerror (m),6,-7.948562744
GEO,2025-09-06,satclockerror (m),7,4.1630074399999994
GEO,2025-09-06,satclockerror (m),8,-0.9344784240000004
GEO,2025-09-06,satclockerror (m),9,0.14407794699999998
GEO,2025-09-06,satclockerror (m),10,-3.4943038730000002
GEO,2025-09-07,x_error (m),0,-6.283347014
GEO,2025-09-07,x_error (m),1,-1.245046057
GEO,2025-09-07,x_error (m),2,6.747543177999999
GEO,2025-09-07,x_error (m),3,-1.451371193
GEO,2025-09-07,x_error (m),4,-1.747016363
GEO,2025-09-07,x_error (m),5,-3.309038255
GEO,2025-09-07,x_error (m),6,11.392454545
GEO,2025-09-07,x_error (m),7,-1.642954968
GEO,2025-09-07,x_error (m),8,-0.1335325169999999
GEO,2025-09-07,x_error (m),9,-0.6397345959999999
GEO,2025-09-07,x_error (m),10,-20.533441335
