dataset,validation_day,variable,n,mae,rmse,residual_mean,residual_std
MEO,2025-09-05,satclockerror (m),6,0.1417556595,0.17419428928736705,0.026977249166666672,0.17209264495535684
MEO,2025-09-06,x_error (m),7,0.33194928528571427,0.4100502387164331,0.31622473842857135,0.2610423587795387
MEO,2025-09-06,y_error (m),7,0.7693013682857144,0.829263357654004,0.5930786434285714,0.5795993780677459
MEO,2025-09-06,z_error (m),7,0.43389174185714297,0.6243322198354383,0.3916219484285715,0.48623345240085586
MEO,2025-09-06,satclockerror (m),7,0.2647816154285714,0.37269509955103086,0.21710181742857143,0.3029330587746475
MEO,2025-09-07,x_error (m),10,0.6651178575000001,0.8933466531623522,-0.6557185045,0.6067136767641385
MEO,2025-09-07,y_error (m),10,1.0174671564,1.154314997402354,1.0174671564,0.5451639192713461
MEO,2025-09-07,z_error (m),10,0.6250456662999999,0.7859197005425022,-0.4187476185,0.6650715808853921
MEO,2025-09-07,satclockerror (m),10,0.8608331030999998,0.9244310961194601,-0.7030890391,0.6001988458586581
MEO2,2025-09-04,x_error (m),17,0.14033026688235295,0.21474800806784658,-0.1025150499411765,0.1886991560783089
MEO2,2025-09-04,y_error (m),17,0.2106383776470588,0.28407204926259155,0.1882183644705882,0.21276930335051866
MEO2,2025-09-04,z_error (m),17,0.18529196329411765,0.2583659795160205,-0.01817818576470589,0.25772569319642263
MEO2,2025-09-04,satclockerror (m),17,0.05333507817647059,0.06124554037509605,0.047108371117647055,0.03913844128832364
MEO2,2025-09-06,x_error (m),29,0.1687778342413793,0.28917705881072175,-0.1537985022413793,0.24488648809341862
MEO2,2025-09-06,y_error (m),29,0.20679075644827585,0.3353942672797292,-0.11459113789655173,0.31521133488451825
MEO2,2025-09-06,z_error (m),29,0.18045661600000001,0.29415691246306414,-0.01969731986206897,0.2934966860801909
MEO2,2025-09-06,satclockerror (m),29,0.026215396827586213,0.04301889292034215,0.00324681675862069,0.042896192477046305
