window_hours,horizon_lo,horizon_hi,bias_type,shrinkage,mean_W,median_W,mean_delta_W
48,360,720.0,median,0.75,0.7913246240176469,0.8275068354972823,-0.12850244726735252
48,1200,inf,median,0.25,0.7866337203233551,0.8120537682913339,-0.13319335096164428
48,1200,inf,mean,0.25,0.7866145419872774,0.8126692865842744,-0.13321252929772207
48,360,720.0,median,1.0,0.7832697745306778,0.8150462612809058,-0.13655729675432157
48,360,720.0,mean,1.0,0.7829881233713282,0.810835189835692,-0.13683894791367127
48,1200,inf,mean,0.5,0.7793778066757092,0.8032240123702326,-0.1404492646092902
48,1200,inf,median,0.5,0.7793435344768304,0.8030183668982891,-0.1404835368081691
48,1200,inf,mean,0.75,0.7719859061463912,0.7926017061305425,-0.14784116513860832
48,1200,inf,median,0.75,0.7708069103524349,0.791581778545798,-0.1490201609325646
48,1200,inf,mean,1.0,0.7622661028392124,0.779115991706162,-0.15756096844578713
48,1200,inf,median,1.0,0.760511069685855,0.7770349661514795,-0.15931600159914444
