validation_day,window_hours,horizon_lo,horizon_hi,bias_type,shrinkage,W,champion_W,delta_W
2025-09-04,6,360,720.0,mean,0.25,0.9426836116899271,0.943112106456763,-0.0004284947668359296
2025-09-04,6,360,720.0,mean,0.5,0.9415718033701351,0.943112106456763,-0.0015403030866278922
2025-09-04,6,360,720.0,mean,0.75,0.9397659219683104,0.943112106456763,-0.003346184488452586
2025-09-04,6,360,720.0,mean,1.0,0.9373975096293565,0.943112106456763,-0.005714596827406493
2025-09-04,6,360,720.0,median,0.25,0.9426836116899271,0.943112106456763,-0.0004284947668359296
2025-09-04,6,360,720.0,median,0.5,0.9415718033701351,0.943112106456763,-0.0015403030866278922
2025-09-04,6,360,720.0,median,0.75,0.9397659219683104,0.943112106456763,-0.003346184488452586
2025-09-04,6,360,720.0,median,1.0,0.9373975096293565,0.943112106456763,-0.005714596827406493
2025-09-04,12,0,360.0,mean,0.25,0.9410963166663123,0.943112106456763,-0.002015789790450695
2025-09-04,12,0,360.0,mean,0.5,0.9397230212670571,0.943112106456763,-0.0033890851897059315
2025-09-04,12,0,360.0,mean,0.75,0.933974138278888,0.943112106456763,-0.009137968177875044
2025-09-04,12,0,360.0,mean,1.0,0.9293806945026655,0.943112106456763,-0.01373141195409755
2025-09-04,12,0,360.0,median,0.25,0.9406543186020876,0.943112106456763,-0.0024577878546754306
2025-09-04,12,0,360.0,median,0.5,0.9391942057832008,0.943112106456763,-0.003917900673562236
2025-09-04,12,0,360.0,median,0.75,0.9359332180387208,0.943112106456763,-0.007178888418042262
2025-09-04,12,0,360.0,median,1.0,0.9342619489525769,0.943112106456763,-0.008850157504186162
2025-09-04,12,360,720.0,mean,0.25,0.9437292384755134,0.943112106456763,0.0006171320187503548
2025-09-04,12,360,720.0,mean,0.5,0.9433128214788035,0.943112106456763,0.000200715022040443
2025-09-04,12,360,720.0,mean,0.75,0.9383040841358248,0.943112106456763,-0.004808022320938243
2025-09-04,12,360,720.0,mean,1.0,0.930478357790342,0.943112106456763,-0.012633748666420974
2025-09-04,12,360,720.0,median,0.25,0.9458368116005968,0.943112106456763,0.0027247051438338277
2025-09-04,12,360,720.0,median,0.5,0.94726239546616,0.943112106456763,0.004150289009396957
2025-09-04,12,360,720.0,median,0.75,0.9434299865771794,0.943112106456763,0.0003178801204163362
2025-09-04,12,360,720.0,median,1.0,0.9369207733799875,0.943112106456763,-0.0061913330767755514
2025-09-04,24,0,360.0,mean,0.25,0.9341187706055704,0.943112106456763,-0.008993335851192663
2025-09-04,24,0,360.0,mean,0.5,0.8440978416914141,0.943112106456763,-0.09901426476534891
2025-09-04,24,0,360.0,mean,0.75,0.742044550172777,0.943112106456763,-0.20106755628398598
2025-09-04,24,0,360.0,mean,1.0,0.6790325200991292,0.943112106456763,-0.26407958635763384
2025-09-04,24,0,360.0,median,0.25,0.9341187706055704,0.943112106456763,-0.008993335851192663
2025-09-04,24,0,360.0,median,0.5,0.8440978416914141,0.943112106456763,-0.09901426476534891
2025-09-04,24,0,360.0,median,0.75,0.742044550172777,0.943112106456763,-0.20106755628398598
2025-09-04,24,0,360.0,median,1.0,0.6790325200991292,0.943112106456763,-0.26407958635763384
2025-09-04,24,360,720.0,mean,0.25,0.6466429651456238,0.943112106456763,-0.2964691413111392
2025-09-04,24,360,720.0,mean,0.5,0.5999515975596967,0.943112106456763,-0.3431605088970663
2025-09-04,24,360,720.0,mean,0.75,0.5840906555254544,0.943112106456763,-0.35902145093130866
2025-09-04,24,360,720.0,mean,1.0,0.5761214054818456,0.943112106456763,-0.36699070097491737
2025-09-04,24,360,720.0,median,0.25,0.6418305390432363,0.943112106456763,-0.30128156741352674
2025-09-04,24,360,720.0,median,0.5,0.5974664260613094,0.943112106456763,-0.3456456803954536
2025-09-04,24,360,720.0,median,0.75,0.5824222885282416,0.943112106456763,-0.3606898179285214
2025-09-04,24,360,720.0,median,1.0,0.574866620165146,0.943112106456763,-0.368245486291617
2025-09-04,24,720,1200.0,mean,0.25,0.6570686275621987,0.943112106456763,-0.2860434788945643
2025-09-04,24,720,1200.0,mean,0.5,0.6328130358491046,0.943112106456763,-0.3102990706076584
2025-09-04,24,720,1200.0,mean,0.75,0.6246178746761887,0.943112106456763,-0.31849423178057434
2025-09-04,24,720,1200.0,mean,1.0,0.6205023346555842,0.943112106456763,-0.3226097718011788
2025-09-04,24,720,1200.0,median,0.25,0.6582551517393034,0.943112106456763,-0.28485695471745964
2025-09-04,24,720,1200.0,median,0.5,0.6334190171641811,0.943112106456763,-0.3096930892925819
2025-09-04,24,720,1200.0,median,0.75,0.6250242323399532,0.943112106456763,-0.31808787411680983
2025-09-04,24,720,1200.0,median,1.0,0.6208079232958645,0.943112106456763,-0.3223041831608985
2025-09-04,24,1200,inf,mean,0.25,0.589779281423353,0.943112106456763,-0.35333282503341
2025-09-04,24,1200,inf,mean,0.5,0.5711106564272548,0.943112106456763,-0.37200145002950824
2025-09-04,24,1200,inf,mean,0.75,0.5648107042836227,0.943112106456763,-0.37830140217314034
2025-09-04,24,1200,inf,mean,1.0,0.5616470441388233,0.943112106456763,-0.38146506231793975
2025-09-04,24,1200,inf,median,0.25,0.589779281423353,0.943112106456763,-0.35333282503341
2025-09-04,24,1200,inf,median,0.5,0.5711106564272548,0.943112106456763,-0.37200145002950824
2025-09-04,24,1200,inf,median,0.75,0.5648107042836227,0.943112106456763,-0.37830140217314034
2025-09-04,24,1200,inf,median,1.0,0.5616470441388233,0.943112106456763,-0.38146506231793975
2025-09-04,48,0,360.0,mean,0.25,0.9284443874486961,0.943112106456763,-0.01466771900806696
2025-09-04,48,0,360.0,mean,0.5,0.9346425136884648,0.943112106456763,-0.008469592768298173
2025-09-04,48,0,360.0,mean,0.75,0.9553418068559615,0.943112106456763,0.012229700399198462
2025-09-04,48,0,360.0,mean,1.0,0.9349584460159726,0.943112106456763,-0.008153660440790467
2025-09-04,48,0,360.0,median,0.25,0.9284443874486961,0.943112106456763,-0.01466771900806696
2025-09-04,48,0,360.0,median,0.5,0.9346425136884648,0.943112106456763,-0.008469592768298173
2025-09-04,48,0,360.0,median,0.75,0.9553418068559615,0.943112106456763,0.012229700399198462
2025-09-04,48,0,360.0,median,1.0,0.9349584460159726,0.943112106456763,-0.008153660440790467
2025-09-04,48,360,720.0,mean,0.25,0.8971270354871543,0.943112106456763,-0.04598507096960869
2025-09-04,48,360,720.0,mean,0.5,0.8195400621161462,0.943112106456763,-0.12357204434061686
2025-09-04,48,360,720.0,mean,0.75,0.7687286632312432,0.943112106456763,-0.1743834432255198
2025-09-04,48,360,720.0,mean,1.0,0.7361986810293156,0.943112106456763,-0.2069134254274474
2025-09-04,48,360,720.0,median,0.25,0.8932033796376981,0.943112106456763,-0.049908726819064886
2025-09-04,48,360,720.0,median,0.5,0.8146838855548589,0.943112106456763,-0.1284282209019041
2025-09-04,48,360,720.0,median,0.75,0.7686725316629921,0.943112106456763,-0.17443957479377092
2025-09-04,48,360,720.0,median,1.0,0.7433129320246403,0.943112106456763,-0.1997991744321227
2025-09-04,48,720,1200.0,mean,0.25,0.7857725818260645,0.943112106456763,-0.15733952463069856
2025-09-04,48,720,1200.0,mean,0.5,0.7522504931707084,0.943112106456763,-0.19086161328605467
2025-09-04,48,720,1200.0,mean,0.75,0.7351665596603068,0.943112106456763,-0.20794554679645627
2025-09-04,48,720,1200.0,mean,1.0,0.7252935046095553,0.943112106456763,-0.2178186018472077
2025-09-04,48,720,1200.0,median,0.25,0.7869079704884863,0.943112106456763,-0.15620413596827676
2025-09-04,48,720,1200.0,median,0.5,0.7532407125266086,0.943112106456763,-0.1898713939301544
2025-09-04,48,720,1200.0,median,0.75,0.7359979442848996,0.943112106456763,-0.2071141621718634
2025-09-04,48,720,1200.0,median,1.0,0.7262154234400573,0.943112106456763,-0.21689668301670573
2025-09-04,48,1200,inf,mean,0.25,0.7173753281260721,0.943112106456763,-0.22573677833069095
2025-09-04,48,1200,inf,mean,0.5,0.6773640861939646,0.943112106456763,-0.2657480202627984
2025-09-04,48,1200,inf,mean,0.75,0.6498885673859467,0.943112106456763,-0.29322353907081633
2025-09-04,48,1200,inf,mean,1.0,0.6312605469112867,0.943112106456763,-0.3118515595454763
2025-09-04,48,1200,inf,median,0.25,0.716058909754861,0.943112106456763,-0.22705319670190205
2025-09-04,48,1200,inf,median,0.5,0.6755696917827821,0.943112106456763,-0.2675424146739809
2025-09-04,48,1200,inf,median,0.75,0.6480729143033301,0.943112106456763,-0.2950391921534329
2025-09-04,48,1200,inf,median,1.0,0.6296023384006286,0.943112106456763,-0.3135097680561344
2025-09-05,6,0,360.0,mean,0.25,0.9193201891012273,0.9221173930801292,-0.00279720397890193
2025-09-05,6,0,360.0,mean,0.5,0.9174596291509993,0.9221173930801292,-0.004657763929129866
2025-09-05,6,0,360.0,mean,0.75,0.916267693091162,0.9221173930801292,-0.005849699988967227
2025-09-05,6,0,360.0,mean,1.0,0.9143935289827431,0.9221173930801292,-0.007723864097386124
2025-09-05,6,0,360.0,median,0.25,0.9193201891012273,0.9221173930801292,-0.00279720397890193
2025-09-05,6,0,360.0,median,0.5,0.9174596291509993,0.9221173930801292,-0.004657763929129866
2025-09-05,6,0,360.0,median,0.75,0.916267693091162,0.9221173930801292,-0.005849699988967227
2025-09-05,6,0,360.0,median,1.0,0.9143935289827431,0.9221173930801292,-0.007723864097386124
2025-09-05,6,360,720.0,mean,0.25,0.9052731813363303,0.9221173930801292,-0.01684421174379891
2025-09-05,6,360,720.0,mean,0.5,0.899743901708735,0.9221173930801292,-0.022373491371394216
2025-09-05,6,360,720.0,mean,0.75,0.8974970711793531,0.9221173930801292,-0.02462032190077612
2025-09-05,6,360,720.0,mean,1.0,0.8890693912661187,0.9221173930801292,-0.033048001814010464
2025-09-05,6,360,720.0,median,0.25,0.9052731813363303,0.9221173930801292,-0.01684421174379891
2025-09-05,6,360,720.0,median,0.5,0.899743901708735,0.9221173930801292,-0.022373491371394216
2025-09-05,6,360,720.0,median,0.75,0.8974970711793531,0.9221173930801292,-0.02462032190077612
2025-09-05,6,360,720.0,median,1.0,0.8890693912661187,0.9221173930801292,-0.033048001814010464
2025-09-05,12,0,360.0,mean,0.25,0.9170565436702707,0.9221173930801292,-0.005060849409858514
2025-09-05,12,0,360.0,mean,0.5,0.920381965221397,0.9221173930801292,-0.0017354278587321526
2025-09-05,12,0,360.0,mean,0.75,0.9175480215361234,0.9221173930801292,-0.004569371544005829
2025-09-05,12,0,360.0,mean,1.0,0.9248713299204825,0.9221173930801292,0.0027539368403532993
2025-09-05,12,0,360.0,median,0.25,0.9170565436702707,0.9221173930801292,-0.005060849409858514
2025-09-05,12,0,360.0,median,0.5,0.920381965221397,0.9221173930801292,-0.0017354278587321526
2025-09-05,12,0,360.0,median,0.75,0.9175480215361234,0.9221173930801292,-0.004569371544005829
2025-09-05,12,0,360.0,median,1.0,0.9248713299204825,0.9221173930801292,0.0027539368403532993
2025-09-05,12,360,720.0,mean,0.25,0.9191501647999476,0.9221173930801292,-0.0029672282801815886
2025-09-05,12,360,720.0,mean,0.5,0.9081602127838135,0.9221173930801292,-0.013957180296315652
2025-09-05,12,360,720.0,mean,0.75,0.8972662064856505,0.9221173930801292,-0.024851186594478714
2025-09-05,12,360,720.0,mean,1.0,0.8948683206985745,0.9221173930801292,-0.027249072381554718
2025-09-05,12,360,720.0,median,0.25,0.9174561233797155,0.9221173930801292,-0.004661269700413695
2025-09-05,12,360,720.0,median,0.5,0.9043980939026252,0.9221173930801292,-0.017719299177504033
2025-09-05,12,360,720.0,median,0.75,0.9038393198528543,0.9221173930801292,-0.018278073227274927
2025-09-05,12,360,720.0,median,1.0,0.9003812887187765,0.9221173930801292,-0.02173610436135265
2025-09-05,12,720,1200.0,mean,0.25,0.9224664523584201,0.9221173930801292,0.00034905927829087524
2025-09-05,12,720,1200.0,mean,0.5,0.9316508243130717,0.9221173930801292,0.00953343123294248
2025-09-05,12,720,1200.0,mean,0.75,0.9374984432344371,0.9221173930801292,0.015381050154307907
2025-09-05,12,720,1200.0,mean,1.0,0.9442832654955511,0.9221173930801292,0.022165872415421894
2025-09-05,12,720,1200.0,median,0.25,0.9224664523584201,0.9221173930801292,0.00034905927829087524
2025-09-05,12,720,1200.0,median,0.5,0.9316508243130717,0.9221173930801292,0.00953343123294248
2025-09-05,12,720,1200.0,median,0.75,0.9374984432344371,0.9221173930801292,0.015381050154307907
2025-09-05,12,720,1200.0,median,1.0,0.9442832654955511,0.9221173930801292,0.022165872415421894
2025-09-05,24,0,360.0,mean,0.25,0.9239048479835366,0.9221173930801292,0.0017874549034073706
2025-09-05,24,0,360.0,mean,0.5,0.9255237142119854,0.9221173930801292,0.003406321131856238
2025-09-05,24,0,360.0,mean,0.75,0.9269697834041043,0.9221173930801292,0.004852390323975109
2025-09-05,24,0,360.0,mean,1.0,0.9282389924298331,0.9221173930801292,0.00612159934970391
